product_code,product_link
Б0000008010,https://absolut-tds.com/catalog/zaryad/28099/
Б0000007060,https://absolut-tds.com/catalog/zaryad/23776/
Б0000010147,https://absolut-tds.com/catalog/akkym18650/13434/
Б0000010148,https://absolut-tds.com/catalog/akkym18650/12394/
Б0000010150,https://absolut-tds.com/catalog/akkym18650/6109/
Б0000010149,https://absolut-tds.com/catalog/akkym18650/9667/
Б0000010158,https://absolut-tds.com/catalog/akkym18650/11290/
Б0000010146,https://absolut-tds.com/catalog/akkym18650/13925/
Б0000010145,https://absolut-tds.com/catalog/akkympr/12393/
Б0000012510,https://absolut-tds.com/catalog/other/40357/
Б0000012511,https://absolut-tds.com/catalog/other/40358/
Б0000012464,https://absolut-tds.com/catalog/gamepad/39819/
Б0000012466,https://absolut-tds.com/catalog/gamepad/39822/
Б0000012467,https://absolut-tds.com/catalog/gamepad/39821/
Б0000012465,https://absolut-tds.com/catalog/gamepad/39820/
Б0000012478,https://absolut-tds.com/catalog/gamepad/39838/
Б0000012479,https://absolut-tds.com/catalog/gamepad/39839/
Б0000012535,https://absolut-tds.com/catalog/callsdoor/40379/
Б0000012534,https://absolut-tds.com/catalog/callsdoor/40378/
Б0000012536,https://absolut-tds.com/catalog/callsdoor/40377/
Б0000011197,https://absolut-tds.com/catalog/home/34926/
Б0000013094,https://absolut-tds.com/catalog/finder/42637/
Б0000010982,https://absolut-tds.com/catalog/hdmicable/35050/
Б0000010983,https://absolut-tds.com/catalog/hdmicable/35051/
Б0000012653,https://absolut-tds.com/catalog/kolonki21/41654/
Б0000012673,https://absolut-tds.com/catalog/cardriders/41302/
Б0000012361,https://absolut-tds.com/catalog/supplyline_filter/38347/
Б0000012362,https://absolut-tds.com/catalog/supplyline_filter/38346/
Б0000012694,https://absolut-tds.com/catalog/supplyline_filter/41365/
Б0000012693,https://absolut-tds.com/catalog/supplyline_filter/41367/
Б0000012696,https://absolut-tds.com/catalog/supplyline_filter/41369/
Б0000012695,https://absolut-tds.com/catalog/supplyline_filter/41368/
Б0000012041,https://absolut-tds.com/catalog/hdmicable/37967/
Б0000012692,https://absolut-tds.com/catalog/videoperehodniki/41364/
Б0000011838,https://absolut-tds.com/catalog/usbtester/37653/
Б0000011841,https://absolut-tds.com/catalog/usbtester/37654/
Б0000011842,https://absolut-tds.com/catalog/usbtester/37652/
Б0000010154,https://absolut-tds.com/catalog/akkym18650/25867/
Б0000007129,https://absolut-tds.com/catalog/zaryad/24217/
Б0000007130,https://absolut-tds.com/catalog/zaryad/24218/
Б0000013003,https://absolut-tds.com/catalog/home/42658/
Б0000012472,https://absolut-tds.com/catalog/gamepad/39834/
Б0000012474,https://absolut-tds.com/catalog/gamepad/39833/
Б0000012475,https://absolut-tds.com/catalog/gamepad/39836/
